game_id,name,genres,developer,publisher,release_date,tags
26800,Braid,"Casual, Indie, Strategy",Number None,Number None,"10 Apr, 2009","Puzzle-Platformer, Puzzle, 2D Platformer, Platformer, Indie, Time Manipulation, 2D, Singleplayer, Great Soundtrack, Difficult, Time Travel, Casual, Atmospheric, Classic, Story Rich, Side Scroller, Strategy, Beautiful, Adventure, Short"
29180,Osmos,"Casual, Indie",Hemisphere Games,Hemisphere Games,"18 Aug, 2009","Indie, Casual, Puzzle, Relaxing, Singleplayer, Physics, Ambient, Great Soundtrack, Atmospheric, 2D, Difficult, Space, Minimalist, Procedural Generation, Arcade, Sci-fi, Science, Strategy, Simulation, Education"
93200,Revenge of the Titans,"Action, Indie, Strategy",Puppygames,Puppygames,"16 Mar, 2011","Tower Defense, Strategy, Indie, Action, Sci-fi, Singleplayer, Pixel Graphics, Retro, 2D, Difficult, Top-Down, Aliens, Arcade, RTS, Sandbox, Great Soundtrack"
37600,Windosill,"Adventure, Casual, Indie",Vectorpark,Vectorpark,"25 Sep, 2009","Casual, Point & Click, Indie, Short, Puzzle, Adventure, Surreal, Family Friendly, Atmospheric, Singleplayer, Cute, Beautiful, Relaxing"
475150,Titan Quest Anniversary Edition,"Action, RPG","Iron Lore Entertainment, THQ Nordic",THQ Nordic,"31 Aug, 2016","RPG, Hack and Slash, Action RPG, Loot, Mythology, Multiplayer, Co-op, Singleplayer, Classic, Isometric, Adventure, Action, Fantasy, Top-Down, Open World, Atmospheric, Great Soundtrack, Story Rich, Dungeon Crawler, Level Editor"
21100,F.E.A.R. 3,Action,Day 1 Studios,Warner Bros. Interactive Entertainment,"21 Jun, 2011","FPS, Horror, Co-op, Action, Multiplayer, Shooter, Singleplayer, Gore, First-Person, Online Co-Op, Bullet Time, Sci-fi, Adventure, Co-op Campaign, Zombies, Atmospheric, Story Rich, Mechs, Controller, Short"
42910,Magicka,"Action, RPG",Arrowhead Game Studios,Paradox Interactive,"25 Jan, 2011","Comedy, Co-op, Action, Fantasy, Magic, Online Co-Op, Multiplayer, RPG, Adventure, Funny, Local Co-Op, 4 Player Local, Indie, Local Multiplayer, Difficult, Singleplayer, Team-Based, Action RPG, Arcade, Strategy"
48190,Assassin’s Creed® Brotherhood,"Action, Adventure",Ubisoft Montreal,Ubisoft,"17 Mar, 2011","Action, Open World, Adventure, Parkour, Stealth, Assassin, Third Person, Historical, Multiplayer, Singleplayer, Rome, Story Rich, Great Soundtrack, Action-Adventure, Atmospheric, Conspiracy, Medieval, Sandbox, Controller, Casual"
45450,Fortix 2,"Casual, Indie",Nemesys Games,Nemesys Games,"6 May, 2011","Indie, Casual, Puzzle, Singleplayer, Arcade, Strategy, Action, 2D"
73010,Cities in Motion,Simulation,Colossal Order Ltd.,Paradox Interactive,"22 Feb, 2011","Simulation, Management, Strategy, City Builder, Singleplayer, Transportation, Trains, Economy, Sandbox, Building"
91800,Cloning Clyde,"Casual, Indie",Bacon Wrapped Games,,"15 Mar, 2011","Casual, Indie, Platformer"
91900,Post Apocalyptic Mayhem,"Action, Racing",Steel Monkeys,Next Dimension Game Adventures Ltd.,"17 Mar, 2011","Racing, Action, Post-apocalyptic, Multiplayer, Arcade, Destruction, Combat Racing, Controller, Singleplayer, Vehicular Combat, Great Soundtrack, Driving, Funny"
63200,Monday Night Combat,"Action, Strategy, Indie, Sports",Uber Entertainment,Uber Entertainment,"24 Jan, 2011","Hero Shooter, Action, Third-Person Shooter, MOBA, Indie, Sports, Strategy, Multiplayer, Arena Shooter, Comedy, Tower Defense, Co-op, Cartoon, Shooter, Free to Play"
91600,Sanctum,"Action, Casual, Indie, Strategy",Coffee Stain Studios,Coffee Stain Publishing,"15 Apr, 2011","Tower Defense, FPS, Strategy, Co-op, Action, Indie, Sci-fi, Multiplayer, First-Person, Online Co-Op, Shooter, Female Protagonist, Singleplayer, Casual, Great Soundtrack, Futuristic, Adventure, Tactical, Survival, Difficult"
70000,Dino D-Day,"Action, Indie",800 North and Digital Ranch,800 North and Digital Ranch,"8 Apr, 2011","Dinosaurs, Multiplayer, Action, World War II, FPS, Indie, Shooter, First-Person, War, Comedy, Funny, Third Person, Alternate History, Co-op, Survival, Historical, PvP, Third-Person Shooter, Gore, Open World"
96000,The Tiny Bang Story,"Adventure, Casual, Indie",Colibri Games,Colibri Games,"22 Apr, 2011","Point & Click, Puzzle, Hand-drawn, Steampunk, Retro, Atmospheric, 2D, Story Rich, Casual, Family Friendly, Cute, Stylized, Surreal, Adventure, Hidden Object, Singleplayer, Indie, Minigames, Logic, Relaxing"
8200,Sam & Max 101: Culture Shock,"Action, Adventure",Telltale Games,Skunkape Games,"15 Jun, 2007","Adventure, Point & Click, Action, Retro, Story Rich, Cult Classic, Great Soundtrack, 1990's, America, 2D"
8210,Sam & Max 102: Situation: Comedy,"Action, Adventure",Telltale Games,Skunkape Games,"15 Jun, 2007","Adventure, Action, Point & Click, Comedy, Episodic"
8220,"Sam & Max 103: The Mole, the Mob and the Meatball","Action, Adventure",Telltale Games,Skunkape Games,"15 Jun, 2007","Adventure, Action, Point & Click, Comedy, America, Story Rich, Cult Classic, Great Soundtrack, 2D, Retro, 1990's"
8230,Sam & Max 104: Abe Lincoln Must Die!,"Action, Adventure",Telltale Games,Telltale Games,"15 Jun, 2007","Adventure, Point & Click, Cult Classic, 1990's, Singleplayer, Great Soundtrack, Retro, Action, Comedy, 2D, Story Rich, America"
8240,Sam & Max 105: Reality 2.0,"Action, Adventure",Telltale Games,Skunkape Games,"15 Jun, 2007","Adventure, Action, Point & Click"
8250,Sam & Max 106: Bright Side of the Moon,"Action, Adventure",Telltale Games,Skunkape Games,"15 Jun, 2007","Adventure, Action, Point & Click"
8260,Sam & Max 201: Ice Station Santa,Adventure,Telltale Games,Skunkape Games,"16 May, 2008","Adventure, Cult Classic, Great Soundtrack, America, 2D, Point & Click, Retro, Story Rich, Funny, 1990's, Singleplayer"
8270,Sam & Max 202: Moai Better Blues,Adventure,Telltale Games,Skunkape Games,"16 May, 2008","Adventure, Point & Click, Comedy"
8280,Sam & Max 203: Night of the Raving Dead,Adventure,Telltale Games,Skunkape Games,"16 May, 2008","Adventure, Point & Click"
8290,Sam & Max 204: Chariots of the Dogs,Adventure,Telltale Games,Skunkape Games,"16 May, 2008","Adventure, Point & Click"
8300,Sam & Max 205: What's New Beelzebub?,Adventure,Telltale Games,Skunkape Games,"16 May, 2008","Adventure, Point & Click"
31220,Sam & Max 301: The Penal Zone,"Action, Adventure",Telltale Games,Skunkape Games,,"Adventure, Point & Click, Comedy, Detective, Episodic, Mystery, Action, Funny, Singleplayer, Puzzle, Story Rich, LGBTQ+, Escape Room"
31230,Sam & Max 302: The Tomb of Sammun-Mak,Adventure,Telltale Games,Skunkape Games,,"Adventure, Point & Click"
31240,Sam & Max 303: They Stole Max's Brain!,Adventure,Telltale Games,Skunkape Games,,"Adventure, Point & Click"
31250,Sam & Max 304: Beyond the Alley of the Dolls,Adventure,Telltale Games,Skunkape Games,,"Adventure, Point & Click"
31260,Sam & Max 305: The City That Dares Not Sleep,Adventure,Telltale Games,Skunkape Games,,"Adventure, Point & Click"
92000,Hydrophobia: Prophecy,"Action, Adventure, Indie, Strategy",Dark Energy Digital Ltd.,Dark Energy Digital Ltd.,"9 May, 2011","Action, Adventure, Female Protagonist, Indie, Third Person, Singleplayer, Physics, Short, Sci-fi, Strategy, Third-Person Shooter, Underwater, Action-Adventure, Horror"
72200,Universe Sandbox Legacy,"Casual, Indie, Simulation",Giant Army,Giant Army,"29 Apr, 2011","Simulation, Sandbox, Space, Physics, Science, Education, Indie, Casual, Singleplayer, God Game, Sci-fi, Free to Play, Atmospheric, Space Sim, Funny, Exploration, Destruction, Epic, Action, VR"
104200,BEEP,"Adventure, Indie",Big Fat Alien,Big Fat Alien,"6 May, 2011","Indie, Platformer, Adventure, 2D, Singleplayer, Physics, Puzzle, Action, Robots, Casual, Strategy, Difficult, Great Soundtrack, Shooter, Shoot 'Em Up, Sci-fi, Family Friendly, Arcade, Funny, Atmospheric"
105100,Lume,"Adventure, Casual, Indie",State of Play,State of Play,"9 May, 2011","Adventure, Indie, Point & Click, Casual, Puzzle, Short, Female Protagonist, Singleplayer"
20920,The Witcher 2: Assassins of Kings Enhanced Edition,RPG,CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub","16 Apr, 2012","RPG, Fantasy, Mature, Story Rich, Choices Matter, Singleplayer, Third Person, Nudity, Adventure, Dark Fantasy, Multiple Endings, Open World, Action, Atmospheric, Based On A Novel, Well-Written, Difficult, Medieval, Magic, Dark"
104600,Portal 2 - The Final Hours,,Geoff Keighley,Geoff Keighley,"17 May, 2011","Documentary, Game Development, Story Rich, Action, Puzzle, Adventure, Beautiful, Movie, Emotional, Linear, Feature Film, Singleplayer, Short, Co-op, Multiplayer, Online Co-Op"
92100,DETOUR,"Indie, Strategy","Geoff 'Zag' Keene, Richard Keene",Geoff 'Zag' Keene,"16 May, 2011","Indie, Strategy, Puzzle, Singleplayer, Casual, 2D, Multiplayer, Shoot 'Em Up, Family Friendly, Simulation, Atmospheric, Action, Turn-Based, Great Soundtrack, Difficult, Tactical, Story Rich"
98200,Frozen Synapse,"Indie, Strategy",Mode 7,Mode 7,"26 May, 2011","Strategy, Turn-Based, Tactical, Indie, Asynchronous Multiplayer, Great Soundtrack, Cyberpunk, Multiplayer, Turn-Based Strategy, Sci-fi, Top-Down, Competitive, Singleplayer, Addictive, Difficult, Chess, Replay Value, Local Multiplayer, Turn-Based Tactics, Co-op"
105300,Critical Mass,"Casual, Indie",Manic Game Studios,Manic Game Studios,"20 Jun, 2011","Casual, Indie, Puzzle, Singleplayer, Match 3"
7600,Sid Meier's Railroads!,Strategy,"Firaxis Games, Feral Interactive (Mac)","2K, Feral Interactive (Mac)","4 May, 2007","Trains, Strategy, Management, Economy, Simulation, Singleplayer, Multiplayer, Real-Time with Pause, Casual, Building, Classic, Historical"
21090,F.E.A.R.,Action,"Monolith Productions, Inc., Timegate","Warner Bros. Games, Warner Bros. Interactive Entertainment","21 May, 2010","Horror, FPS, Action, Bullet Time, Classic, Singleplayer, Shooter, Atmospheric, Gore, First-Person, Psychological Horror, Dark, Story Rich, Sci-fi, Jump Scare, Great Soundtrack, Survival Horror, Old School, Thriller, Multiplayer"
21110,F.E.A.R.,Action,"Monolith Productions, Inc., Timegate","Warner Bros. Games, Warner Bros. Interactive Entertainment","21 May, 2010",
21120,F.E.A.R.,Action,"Monolith Productions, Inc., Timegate","Warner Bros. Games, Warner Bros. Interactive Entertainment","21 May, 2010",
16450,F.E.A.R. 2: Project Origin,Action,Monolith,"Warner Bros. Games, Warner Bros. Interactive Entertainment","12 Feb, 2009","Horror, FPS, Action, Gore, Singleplayer, Shooter, Multiplayer, Bullet Time, Psychological Horror, First-Person, Atmospheric, Co-op, Jump Scare, Classic, Sci-fi, Violent, Story Rich, Nudity, Sequel, Survival Horror"
24670,Trainz™ Simulator 12,Simulation,N3V Games,N3V Games,"8 Jun, 2011","Simulation, Trains, Multiplayer, Singleplayer, Realistic, Sandbox"
70120,Hacker Evolution Duality,Indie,exosyphen studios,exosyphen studios,"15 Aug, 2011","Indie, Hacking, Simulation"
94590,Puzzle Agent 2,"Action, Adventure, Casual",Telltale,Telltale,"30 Jun, 2011","Adventure, Puzzle, Point & Click, Casual, Detective, Singleplayer, Comedy, Mystery, Action, Surreal, Conspiracy, Funny, Touch-Friendly, Short, Hand-drawn, Atmospheric, 2D, Story Rich, Stylized, Great Soundtrack"
98800,Dungeons of Dredmor,"Casual, Indie, RPG","Gaslamp Games, Inc.","Gaslamp Games, Inc.","13 Jul, 2011","Traditional Roguelike, Rogue-like, Turn-Based, RPG, Dungeon Crawler, Indie, Comedy, Perma Death, Replay Value, Singleplayer, Fantasy, Funny, Casual, Crafting, Procedural Generation, 2D, Moddable, Top-Down, Difficult, Adventure"
22230,Rock of Ages,"Action, Indie, Racing, Strategy",ACE Team,SEGA,"7 Sep, 2011","Comedy, Strategy, Indie, Tower Defense, Action, Racing, Historical, Multiplayer, Funny, Local Multiplayer, Bowling, Singleplayer, Destruction, Casual, Split Screen, Physics, Co-op, Medieval"
18700,And Yet It Moves,"Action, Indie",Broken Rules,Broken Rules,"2 Apr, 2009","Platformer, Indie, Puzzle, 2D, Casual, Singleplayer, Experimental, Action, Puzzle-Platformer, Surreal, Physics"
26500,Cogs,"Casual, Indie",Lazy 8 Studios,,"14 Apr, 2009","Puzzle, Indie, Casual, Singleplayer, Steampunk, Family Friendly, Difficult, 3D, Logic"
26900,Crayon Physics Deluxe,"Casual, Indie",Kloonigames,Kloonigames,"6 May, 2009","Puzzle, Indie, Casual, Physics, Family Friendly, Singleplayer, Touch-Friendly, 2D, Cute, Relaxing, Sandbox, Level Editor, Great Soundtrack, Simulation, Hand-drawn"
41100,Hammerfight,"Action, Indie",Konstantin Koshutin,KranX Productions,"28 Oct, 2009","Action, Indie, Physics, Mouse only, 2D, Singleplayer, Multiple Endings, Experimental, Difficult, Steampunk, Fighting, Local Multiplayer, Free to Play"
55040,Atom Zombie Smasher,"Indie, Strategy",Blendo Games,Blendo Games,"14 Mar, 2011","Real Time Tactics, Tower Defense, Zombies, Procedural Generation, Replay Value, Sandbox, RTS, Strategy, Top-Down, Action, Tactical, Moddable, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Singleplayer, Indie, Great Soundtrack, Casual"
70300,VVVVVV,"Action, Indie",Terry Cavanagh,Terry Cavanagh,"7 Sep, 2010","Pixel Graphics, Precision Platformer, Platformer, Indie, 2D Platformer, Great Soundtrack, Difficult, Retro, 2D, Singleplayer, Exploration, Action, Sci-fi, Adventure, Short, Minimalist, Metroidvania, Puzzle, Open World, Space"
96200,Steel Storm: Burning Retribution,"Action, Indie",Kot in Action Creative Artel,Kot in Action Creative Artel,"11 May, 2011","Indie, Action, Shooter, Arcade, Top-Down Shooter, Sci-fi, Singleplayer, Shoot 'Em Up"
